Word,Auditory.mean,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
BRUSHWOOD,0,0,0,1,1,0,0,0,1,0,1
BRUSHWORK,0,0,0,1,0,0,0,0,0,0,1
BRUSSELS SPROUTS,0,0,1,1,1,0,0,1,1,1,1
BRUTAL,1,1,1,1,1,1,1,1,1,1,0
BRUTALISM,1,1,0,0,1,1,1,1,0,1,1
BRUTALITY,1,1,0,1,1,0,1,0,0,1,1
BRUTALIZATION,0,1,0,1,0,0,1,0,0,1,1
BRUTALIZE,1,1,0,1,1,0,1,1,0,1,1
BRUTALLY,0,1,0,1,0,0,1,0,0,1,1
BRUTE,1,1,1,1,1,0,1,0,1,1,1
BRUTISH,0,1,0,0,0,0,0,1,0,1,1
BRUTISHLY,1,0,1,1,0,1,1,1,1,0,1
BRUTISHNESS,1,1,0,1,0,1,0,1,0,1,0
BUBBLE,0,0,1,0,1,0,0,1,1,0,1
BUBBLE BATH,1,1,1,1,1,1,1,0,1,1,1
BUBBLE GUM,0,0,1,0,1,0,0,1,1,0,0
BUBBLE WRAP,1,0,0,1,1,0,0,0,0,0,1
BUBBLEGUM,1,0,1,0,1,0,0,1,1,0,1
BUBBLER,1,0,0,0,1,0,0,1,1,1,1
BUBBLING,1,0,1,0,1,1,0,1,1,0,1
BUBBLY,1,1,1,1,1,1,1,1,1,1,1
BUBONIC,0,1,1,0,1,0,1,1,1,1,0
BUCCANEER,1,1,0,0,0,0,0,0,1,1,1
BUCCANEERING,1,1,0,1,0,0,0,0,0,1,1
BUCK,0,1,1,1,1,0,0,0,1,1,1
BUCKED,0,1,0,0,1,0,1,0,0,1,1
BUCKET,0,0,1,1,1,0,0,0,1,0,1
BUCKET SEAT,0,1,0,0,1,0,0,0,0,1,1
BUCKETFUL,0,0,0,1,1,0,0,0,0,0,1
BUCKEYE,0,0,1,0,0,0,0,0,0,0,1
BUCKING,0,1,0,1,1,0,0,0,0,1,1
BUCKLE,0,0,0,1,1,0,0,0,0,1,1
BUCKLE DOWN,0,1,0,1,1,0,1,0,1,1,0
BUCKLED,0,0,0,1,1,0,0,0,0,1,1
BUCKSAW,1,0,0,1,1,0,0,0,0,0,1
BUCKSHOT,1,0,0,1,1,0,0,0,1,1,0
BUCKSKIN,0,0,0,1,1,0,0,0,0,0,1
BUCKSKINNED,0,0,0,1,1,0,0,0,0,0,0
BUCKTOOTH,0,0,0,0,0,0,0,1,0,0,1
BUCKTOOTHED,0,0,0,0,0,0,0,1,0,0,1
BUCKWHEAT,0,0,1,0,1,0,0,1,1,0,1
BUD,0,0,1,0,1,0,0,0,1,0,1
BUDDHISM,1,0,0,0,0,1,1,0,0,0,0
BUDDHIST,1,0,0,0,0,1,1,0,0,0,1
BUDDING,0,0,1,0,0,0,0,0,1,0,1
BUDDY,1,1,0,1,0,1,0,1,0,0,0
BUDGE,0,1,0,1,1,0,0,1,0,1,1
BUDGET,0,0,0,0,0,1,0,0,0,0,1
BUDGET CUT,0,0,0,0,0,1,0,1,0,0,0
BUDGETARY,1,0,0,0,0,1,0,0,0,0,1
BUDGETER,0,0,0,0,0,0,0,0,0,0,0
BUFF,0,1,0,1,1,0,0,0,0,1,1
BUFFALO,1,0,1,0,1,1,0,0,1,0,1
BUFFED,0,1,0,1,1,0,0,0,0,1,1
BUFFER,0,1,1,0,1,0,0,0,0,0,0
BUFFET,1,1,1,1,1,1,1,1,1,1,1
BUFFING,0,0,0,1,1,0,0,0,0,0,0
BUFFOON,1,1,0,1,0,1,0,1,0,1,1
BUFFOONISH,1,0,0,0,0,1,1,1,0,0,1
BUG,1,1,1,1,1,1,0,0,0,0,1
BUGGY,1,0,0,0,0,0,0,0,0,0,0
BUGHOUSE,0,0,0,1,0,0,0,0,0,0,1
BUGLE,1,0,0,1,0,0,0,1,0,1,0
BUGLER,1,0,0,0,0,0,0,1,0,1,0
BUILD,1,1,0,1,1,1,0,0,0,1,1
BUILDABLE,0,1,0,1,1,1,0,0,0,1,1
BUILDER,1,1,0,1,0,1,0,0,0,1,1
BUILDING,0,1,0,1,1,1,0,0,1,1,1
BUILDING SITE,1,1,0,1,0,1,0,0,1,1,1
BUILDUP,0,1,1,1,1,0,1,0,1,0,1
BUILT,0,1,0,1,1,0,0,0,0,1,1
BULB,0,0,0,1,1,1,0,0,0,0,1
BULBLIKE,0,0,0,0,1,0,0,0,0,0,1
BULGE,0,1,0,1,1,1,1,0,0,1,1
BULGINESS,0,1,0,0,1,0,1,0,0,1,1
BULGUR WHEAT,0,0,1,0,1,0,0,1,1,0,0
BULIMIA,0,0,0,0,0,1,1,1,1,1,0
BULIMIC,0,0,1,1,0,0,1,1,1,1,0
BULK,0,1,0,1,1,0,0,0,0,1,1
BULKED,0,1,0,1,1,0,0,0,0,1,1
BULKHEAD,0,0,0,0,1,1,0,0,0,0,1
BULKINESS,0,1,0,1,1,0,0,0,0,1,1
BULKY,0,1,0,1,1,0,0,0,0,1,1
BULL,1,1,0,1,1,0,0,0,1,1,1
BULLDOG,1,1,0,1,1,1,0,0,1,1,1
BULLDOGGED,0,1,0,0,0,1,0,0,0,1,0
BULLDOZE,1,1,0,1,0,0,0,0,1,1,1
BULLDOZER,1,1,0,1,1,0,0,0,1,1,1
BULLET,1,0,0,1,1,0,1,0,0,1,1
BULLET HOLE,0,0,0,1,1,1,0,0,1,1,1
BULLETED,0,0,0,0,0,0,0,0,0,0,1
BULLETIN,1,0,0,1,0,1,0,0,0,0,1
BULLETIN BOARD,0,0,0,1,1,1,0,0,0,0,1
BULLETPROOF,0,1,0,0,0,0,0,0,0,1,1
BULLETPROOF VEST,0,0,0,0,1,0,0,0,0,1,1
BULLFIGHT,1,1,0,1,0,1,0,1,1,1,1
BULLFIGHTER,1,1,0,1,0,1,0,0,0,1,1
BULLFIGHTING,1,1,0,1,0,1,0,0,1,1,1
BULLFROG,1,0,0,0,1,0,0,0,1,0,1
BULLHEADED,1,0,0,0,0,1,1,0,0,0,0
BULLHEADEDNESS,1,0,1,0,0,1,1,1,0,0,1
BULLHORN,1,0,0,1,1,0,0,1,0,0,1
BULLION,0,0,1,1,1,0,0,1,0,0,0
BULLISH,1,1,0,0,0,0,0,1,0,1,0
BULLISHLY,1,1,0,1,0,1,1,1,0,1,0
BULLISHNESS,0,0,0,0,0,1,1,0,0,1,0
BULLPEN,1,1,1,1,1,0,1,0,1,1,1
BULLRING,0,0,0,0,1,1,0,0,0,0,1
BULLSEYE,0,1,0,1,0,1,0,1,0,1,1
BULLSHIT,1,0,0,0,0,1,0,1,1,0,1
BULLWHIP,1,0,0,1,1,0,0,0,0,0,0
BULLY,1,1,0,1,1,1,1,1,0,1,1
BULLYING,1,1,0,1,0,1,0,1,0,1,1
BUM,0,1,0,0,1,1,0,0,1,1,1
BUMBLE,1,1,0,1,0,0,0,1,0,0,0
BUMBLEBEE,1,1,0,1,1,1,0,0,0,1,1
BUMMED,1,0,0,0,0,1,1,0,0,0,0
BUMMER,1,0,0,0,0,1,1,0,0,0,0
BUMMING,0,1,0,1,0,0,1,1,0,1,0
BUMP,0,1,0,1,1,0,1,0,0,1,0
BUMPER,0,1,0,1,1,0,0,0,0,1,1
BUMPILY,0,1,0,0,1,0,0,0,0,0,0
BUMPINESS,0,1,0,1,1,0,0,0,0,1,1
BUMPING,1,1,0,1,1,1,1,0,0,1,0
BUMPKIN,1,0,0,0,0,0,0,0,0,0,0
BUMPY,0,1,0,1,1,0,1,0,0,1,1
BUN,0,0,1,1,1,1,0,1,1,0,1
BUNCH,0,0,1,0,1,0,0,0,0,0,1
BUNCHY,0,0,0,1,1,0,0,0,0,0,0
BUNDLE,0,0,0,1,1,0,0,0,0,0,1
BUNDLE UP,0,1,0,1,1,1,1,0,0,1,1
BUNDLER,0,0,0,1,0,0,0,0,0,0,1
BUNGALOW,0,1,0,0,1,0,0,0,0,1,1
BUNGEE,0,1,1,1,1,1,1,0,1,1,1
BUNGEE JUMPING,0,1,0,1,0,1,1,1,0,1,1
BUNGHOLE,0,0,0,0,1,0,0,0,1,1,1
BUNGLE,0,1,0,1,0,1,1,1,0,1,0
BUNGLER,0,1,0,0,0,0,0,0,0,0,0
BUNION,0,1,0,0,1,0,1,0,0,0,1
BUNK,0,1,0,1,1,0,0,0,0,1,1
BUNKBED,0,1,0,1,1,1,0,0,0,1,0
BUNKER,0,1,0,1,0,1,0,1,0,1,1
BUNKHOUSE,0,1,0,1,1,1,0,0,1,1,1
BUNKMATE,1,0,0,0,1,1,0,1,1,1,1
BUNNY,1,0,1,1,1,1,0,0,1,0,1
BUNT,0,1,0,1,1,0,0,0,0,1,1
BUNTED,0,1,0,1,1,1,0,0,0,1,1
BUNTING,0,0,0,1,1,0,0,0,0,0,1
BUOY,0,0,0,0,0,0,0,0,0,0,1
BUOYANCY,0,1,1,1,1,0,1,0,1,1,0
BUOYANT,0,1,0,0,1,1,1,0,0,1,1
BUOYANTLY,0,1,0,1,0,0,0,0,0,1,1
BUR,0,1,0,0,1,0,0,0,0,0,1
BURDEN,0,1,1,1,0,1,1,0,1,1,0
BURDENSOME,0,1,0,0,0,0,1,0,1,1,0
BURDENSOMENESS,1,0,0,0,0,0,1,0,0,0,0
BUREAU,0,0,0,0,1,0,0,0,0,0,0
BUREAUCRACY,1,0,1,0,0,1,0,1,1,0,1
BUREAUCRAT,1,0,0,0,0,1,0,1,0,0,1
BUREAUCRATIC,1,0,1,0,0,1,1,1,1,1,0
BUREAUCRATICALLY,1,0,0,0,0,0,0,0,0,0,0
BUREAUCRATIZATION,1,0,0,0,0,0,1,1,0,0,1
BUREAUCRATIZE,0,0,0,0,0,0,0,1,0,0,0
BURGER,0,0,1,1,1,1,1,1,1,1,1
BURGLAR,1,1,0,1,0,1,0,0,1,1,1
BURGLAR ALARM,1,0,0,0,0,1,0,0,0,0,0
BURGLARIZE,1,1,0,1,0,1,0,0,0,1,1
BURGLARPROOF,0,1,0,1,1,1,0,0,0,1,1
BURGLARY,1,1,0,1,0,1,0,0,0,0,1
BURGUNDY,0,0,1,0,0,1,0,0,0,0,1
BURIAL,0,1,0,1,0,1,0,0,0,1,1
BURIED,0,1,0,1,1,0,0,0,0,1,1
BURLAP,0,0,0,1,1,0,0,0,1,0,1
BURLESQUE,1,1,0,1,0,1,0,1,0,1,1
BURLESQUER,1,1,0,1,0,1,0,0,0,1,1
BURLEY,0,1,0,1,1,0,0,0,1,1,1
BURLINESS,0,1,0,1,1,0,0,0,1,1,1
BURLY,0,1,0,1,1,0,0,0,1,1,1
BURN,0,1,1,1,1,0,1,1,1,1,1
BURN OUT,1,1,1,1,0,1,1,0,1,1,0
BURNABLE,0,1,0,1,1,0,0,0,1,0,1
BURNED,0,1,1,1,1,1,1,1,1,1,1
BURNER,0,1,1,1,1,0,0,0,1,0,1
BURNING,1,1,1,1,1,0,1,0,1,1,1
BURNOUT,1,0,0,0,0,1,1,0,1,1,0
BURNT,0,1,1,1,0,0,0,1,1,1,1
BURP,1,0,1,0,0,0,1,1,1,1,0
BURR,0,0,0,0,1,0,0,0,0,0,0
BURRITO,0,0,1,1,1,0,1,1,1,1,1
BURROW,0,1,0,1,1,1,0,0,0,1,1
BURROWER,0,1,1,1,1,0,0,0,1,1,0
BURST,1,0,1,0,0,0,0,0,0,0,1
BURY,0,1,0,1,1,0,0,0,0,1,1
BURYING,0,1,0,1,1,0,0,0,0,1,1
BUS,1,1,0,1,1,1,0,0,1,1,1
BUS DRIVER,1,0,0,0,1,1,0,0,1,0,1
BUS FARE,1,0,0,1,1,0,0,0,0,0,1
BUS LANE,0,1,0,0,0,0,0,0,0,0,1
BUS SERVICE,1,1,0,0,0,0,0,0,0,1,1
BUS SHELTER,0,1,0,1,0,0,0,0,1,1,1
BUS STATION,1,1,0,1,0,1,0,0,1,1,1
BUS STOP,1,1,0,1,0,1,0,0,0,1,1
BUS TICKET,0,0,0,1,1,0,0,0,0,0,1
BUSBOY,1,1,0,1,0,1,0,0,0,1,1
BUSH,0,1,0,1,1,1,0,0,1,0,1
BUSHED,0,0,0,0,0,0,1,0,0,0,0
BUSHEL,0,0,0,1,1,0,0,0,0,1,1
BUSHFIRE,0,1,0,1,0,0,0,0,1,1,1
BUSHINESS,0,1,0,1,1,1,0,0,0,0,1
BUSHMAN,1,1,0,1,0,0,0,1,1,1,1
BUSHY,0,1,0,1,1,1,0,0,0,1,1
BUSIED,0,1,0,1,0,1,1,1,0,1,0
BUSILY,0,1,0,1,0,1,1,1,0,1,1
BUSINESS,1,1,0,0,0,1,0,1,0,1,1
BUSINESS CARD,0,0,0,1,1,1,0,0,0,0,1
BUSINESS PLAN,1,0,0,0,0,0,0,1,0,0,1
BUSINESSLIKE,1,1,0,1,0,1,1,1,0,1,0
BUSINESSMAN,1,0,0,0,0,0,0,1,1,0,1
BUSINESSPEOPLE,1,0,0,0,0,1,0,1,0,0,1
BUSINESSPERSON,1,1,0,1,0,1,0,1,0,1,1
BUSINESSWOMAN,1,1,0,0,0,1,0,1,0,1,1
BUSLOAD,1,1,0,0,0,1,0,0,0,1,1
BUSMAN,0,0,0,0,0,0,0,0,0,0,0
BUST,0,0,0,1,1,0,0,0,0,1,1
BUSTED,1,1,0,0,1,1,0,1,0,0,1
BUSTER,0,0,0,0,1,0,0,0,0,0,0
BUSTLE,1,1,0,1,0,0,1,0,1,1,0
BUSTLED,1,1,0,1,0,0,1,0,0,1,1
BUSTLING,1,1,0,1,0,0,0,0,0,1,1
BUSTY,0,0,0,1,1,1,0,0,0,1,1
BUSY,1,1,0,1,0,0,1,1,0,1,1
BUSYBODY,1,1,0,1,0,1,0,1,0,1,0
BUSYING,0,1,1,1,0,0,1,0,0,1,0
BUSYWORK,0,1,0,1,1,0,0,0,0,1,1
BUT,0,0,0,0,0,0,0,0,0,0,0
BUTANE,0,0,0,1,0,0,0,0,1,0,0
BUTCH,1,0,0,0,0,0,0,0,0,0,1
BUTCHER,1,0,0,1,0,0,0,0,1,0,1
BUTCHER KNIFE,0,0,0,1,1,0,0,0,0,0,1
BUTCHER SHOP,1,1,1,1,0,1,0,1,1,1,1
BUTCHERING,1,0,1,1,1,0,0,0,1,0,1
BUTCHERY,0,0,0,1,0,0,0,0,1,0,0
BUTLER,1,1,0,1,0,1,0,1,0,1,1
BUTT,0,1,1,0,1,0,0,0,1,1,1
BUTTER,0,0,1,1,1,1,0,1,1,0,1
BUTTERBALL,0,0,1,1,1,1,0,1,1,1,1
BUTTERCREAM,0,0,1,0,1,0,0,1,1,0,0
BUTTERCUP,0,0,1,0,1,0,0,1,1,0,1
BUTTERED,0,0,1,1,1,0,0,1,1,0,1
BUTTERFAT,0,0,1,0,1,0,0,1,1,0,1
BUTTERFINGERED,0,0,1,1,1,0,0,0,0,0,0
BUTTERFINGERS,0,0,1,1,1,0,0,0,1,0,1
BUTTERFLY,0,0,0,0,1,1,0,0,0,0,1
BUTTERMILK,0,0,1,0,1,0,0,1,1,1,1
BUTTERNUT,0,0,1,0,1,0,0,1,1,0,1
BUTTERNUT SQUASH,0,0,1,1,1,0,0,1,1,0,1
BUTTERSCOTCH,0,0,1,0,1,0,1,1,1,0,1
BUTTERY,0,0,1,0,1,0,0,1,1,0,0
BUTTING,0,1,0,0,1,0,0,0,0,1,0
BUTTOCK,0,1,0,1,1,0,0,0,1,1,1
BUTTOCKS,0,1,1,0,1,0,0,0,1,1,1
BUTTON,0,0,0,1,1,0,0,0,0,0,1
BUTTONED,0,0,0,1,1,0,0,0,0,1,1
BUTTONHOLE,0,0,0,1,1,0,0,0,0,0,1
BUTTONHOLER,0,0,0,1,1,0,0,0,0,0,1
BUTTONHOOK,0,1,0,1,1,1,0,0,0,1,1
BUTTONS,0,0,0,1,1,0,0,0,0,1,1
BUTTRESS,0,0,0,0,1,0,0,0,0,0,1
BUXOMNESS,0,0,0,0,1,0,0,0,0,1,1
BUY,1,1,1,1,1,1,1,1,1,0,1
BUY OFF,1,0,1,0,0,0,0,0,1,0,0
BUYABLE,1,0,0,0,0,0,0,0,0,0,0
BUYER,1,1,0,1,0,1,0,1,0,0,1
BUYOUT,1,0,0,0,0,0,0,1,0,0,0
BUZZ,1,1,0,1,0,1,0,1,0,1,0
BUZZ SAW,1,0,0,1,1,0,0,0,1,1,1
BUZZARD,1,0,1,0,1,1,0,0,1,0,1
BUZZER,1,0,0,1,0,1,0,0,0,0,0
BUZZING,1,0,0,0,0,1,0,0,0,0,0
BUZZWORD,1,0,0,0,0,1,0,1,0,0,0
BY,0,1,0,0,0,0,0,0,0,0,0
BY CHANCE,1,0,0,0,0,1,1,0,0,0,0
BY FAR,0,0,0,0,0,0,0,0,0,0,0
BYE,1,0,0,1,0,0,1,1,0,0,1
BYGONE,0,0,0,0,0,0,0,0,0,0,0
BYLAW,1,0,0,0,0,1,0,0,0,0,0
BYPASS,0,1,0,1,0,0,0,0,0,1,1
BYPRODUCT,1,0,1,0,1,0,0,0,1,0,1
BYSTANDER,1,1,0,1,0,0,0,1,0,1,1
BYTE,0,0,0,0,0,0,0,0,0,0,0
BYWAY,0,1,0,0,0,0,0,0,0,0,1
CAB,1,1,0,1,1,0,0,0,1,1,1
CABANA,0,1,0,1,0,1,0,0,0,1,1
CABBAGE,0,0,1,1,1,0,0,1,1,1,1
CABBIE,1,1,0,1,0,0,0,1,1,0,1
CABBY,1,0,0,0,0,0,0,1,1,1,1
CABDRIVER,1,1,0,1,1,1,0,1,1,1,1
CABIN,0,1,0,1,1,1,0,0,1,1,1
CABINET,0,0,0,1,1,1,0,0,0,0,1
CABINETMAKER,1,1,0,1,1,1,0,0,0,1,1
CABINETMAKING,0,0,0,1,1,0,0,0,0,1,1
CABINETRY,0,0,0,1,1,1,0,0,1,0,1
CABINETWORK,0,0,0,1,1,1,0,0,1,1,1
CABLE,0,0,0,1,1,0,0,0,0,0,1
CABLE CAR,0,1,0,1,0,0,0,0,0,1,1
CABLE TELEVISION,1,0,0,0,0,1,0,0,0,0,1
CABLED,0,0,0,1,1,0,0,0,0,0,1
CABLEWAY,0,0,0,0,0,0,0,0,0,0,1
CABLING,0,0,0,1,1,0,0,0,0,0,1
CABOOSE,0,0,0,0,0,0,0,0,0,1,1
CACHE,0,0,0,0,0,0,0,0,0,0,1
CACKLE,1,0,0,0,0,0,0,1,0,0,0
CACKLER,1,0,0,0,0,1,0,1,0,0,0
CACTI,0,0,1,1,1,0,0,0,1,0,1
CACTUS,0,1,1,1,1,1,0,0,1,0,1
CADAVER,0,0,0,0,1,1,0,0,1,0,1
CADAVEROUS,0,1,0,1,1,1,0,0,1,1,1
CADDIE,0,1,0,1,0,0,0,0,0,1,1
CADDY,1,1,1,1,1,0,0,0,1,1,1
CADENCE,1,1,1,1,0,1,0,1,1,1,0
CADET,1,1,0,1,0,1,0,0,0,1,1
CADILLAC,1,1,0,1,1,1,0,0,0,1,1
CADMIUM,0,0,0,0,1,0,0,0,0,0,0
CAESAR SALAD,0,0,1,1,0,0,0,1,1,0,0
CAESAREAN,0,0,0,0,1,0,1,0,0,1,0
CAESAREAN SECTION,0,0,0,0,1,0,1,0,0,1,1
CAESARIAN,0,0,0,0,1,0,1,0,0,1,1
CAFE,1,1,1,1,1,1,0,1,1,1,1
CAFETERIA,1,1,1,1,1,0,1,1,1,1,1
CAFFEINE,0,1,1,1,0,1,1,1,1,1,0
CAGE,0,1,0,1,1,1,0,0,0,1,1
CAGED,0,1,0,1,1,1,1,0,0,1,1
CAGEY,0,1,0,0,0,1,1,1,0,1,0
CAHOOTS,1,0,0,0,0,1,0,1,0,0,0
CAJOLING,1,0,0,1,0,1,1,1,0,0,0
CAKE,0,0,1,1,1,0,0,1,1,1,1
CAKE MIX,0,0,1,1,1,0,0,1,1,1,1
CAKE PAN,0,0,1,1,1,1,0,0,0,0,1
CAKEWALK,0,1,1,0,0,0,1,0,1,0,0
CALAMARI,0,0,1,1,1,0,0,1,1,0,1
CALAMITOUSLY,1,0,0,0,0,1,1,0,0,0,0
CALAMITY,1,1,0,1,0,1,1,1,0,1,0
CALCIFICATION,0,0,1,1,1,0,0,0,0,0,1
CALCIUM,0,1,1,1,0,0,0,1,0,1,0
CALCULABILITY,1,0,1,1,0,1,0,1,0,0,0
CALCULABLE,0,0,0,0,0,1,0,0,0,0,0
CALCULATE,0,0,1,1,0,1,0,0,0,0,0
CALCULATED,1,0,1,1,0,1,0,1,1,0,0
CALCULATEDLY,1,0,0,1,0,1,1,1,0,0,0
CALCULATING,0,0,0,1,0,1,0,0,0,0,0
CALCULATINGLY,0,0,0,0,0,1,1,1,0,0,0
CALCULATION,0,0,1,1,0,1,1,0,0,0,1
CALCULATIVE,0,0,0,0,0,1,1,0,0,0,0
CALCULATOR,0,0,0,1,1,1,0,0,0,0,1
CALCULUS,0,0,0,1,0,1,0,0,0,0,1
CALENDAR,0,0,0,1,1,1,0,0,0,0,1
CALENDER,0,0,0,1,1,1,0,0,0,0,1
CALF,1,1,0,1,1,0,1,0,1,0,1
CALFSKIN,0,1,0,0,1,0,0,0,1,0,1
CALIBER,0,0,0,1,0,1,0,0,0,0,0
CALIBRATE,1,0,0,1,1,1,0,0,0,0,1
CALIBRATION,0,0,0,1,1,1,0,0,0,0,1
CALIBRATOR,0,0,0,1,1,1,0,0,0,0,1
CALICO,0,1,0,1,0,0,0,0,0,0,1
CALIPERS,0,0,0,1,1,0,0,0,0,0,1
CALL,1,0,0,1,0,1,0,1,0,0,0
CALL CENTER,1,0,0,0,0,1,0,1,0,0,1
CALL FOR,1,0,0,0,0,1,0,1,0,0,0
CALL GIRL,1,1,1,1,1,1,1,1,1,1,1
CALL OFF,1,0,0,0,0,0,0,1,0,0,0
CALL UPON,1,0,0,0,0,0,0,1,0,0,0
CALLBACK,1,0,0,0,0,0,0,1,0,0,0
CALLER,1,0,0,1,0,1,0,1,0,0,0
CALLIGRAPHER,0,0,0,1,0,0,0,0,0,0,1
CALLIGRAPHIC,0,0,0,1,0,1,0,0,0,0,1
CALLIGRAPHIST,0,0,0,1,0,1,0,0,0,0,1
CALLIGRAPHY,0,0,0,1,1,0,0,0,0,0,1
CALLING,1,0,0,1,0,1,0,1,0,0,0
CALLOUS,1,0,0,0,1,1,0,1,0,0,0
CALLOUSLY,0,0,0,0,0,0,1,1,0,0,0
CALLOUSNESS,1,0,0,0,1,1,0,1,0,1,0
CALLUS,0,1,0,1,1,0,1,0,0,0,0
CALM,0,1,0,0,0,1,1,1,0,1,0
CALM DOWN,1,1,0,0,0,1,1,1,0,1,1
CALMER,0,1,0,1,0,1,1,1,0,1,0
CALMINGLY,1,1,0,1,1,1,1,1,1,1,0
CALMLY,1,1,0,1,0,1,1,1,0,1,0
CALMNESS,1,0,0,0,0,1,1,1,0,1,1
CALORIC,0,1,1,0,0,1,0,1,1,1,0
CALORIE,0,0,1,0,0,0,1,1,1,1,0
CALVES,0,1,0,0,1,0,1,0,0,0,1
CALZONE,0,0,1,1,1,0,0,1,1,0,1
CAMARADERIE,1,1,0,1,0,1,1,1,0,1,1
CAMCORDER,0,0,0,1,1,1,0,0,0,0,1
CAME,0,1,1,0,1,0,1,0,1,1,0
CAMEL,0,1,0,1,1,0,0,0,1,0,1
CAMELBACK,0,1,1,0,1,0,0,0,1,1,0
CAMEO,0,1,0,0,0,0,0,0,0,0,1
CAMERA,0,0,0,1,1,1,0,0,0,0,1
CAMERA LENS,0,0,0,1,1,1,0,0,0,0,1
CAMERAMAN,1,0,0,1,0,1,0,0,0,0,1
CAMERAWORK,0,1,0,1,0,1,0,1,0,1,1
CAMISOLE,0,0,0,1,1,0,0,0,0,1,1
CAMOUFLAGE,0,1,0,1,0,1,0,0,0,1,1
CAMP,1,1,1,1,1,1,0,1,1,1,1
CAMP OUT,1,1,1,1,1,1,0,1,1,1,1
CAMPAIGN,1,1,1,0,0,1,0,1,0,1,1
CAMPAIGNER,1,1,0,1,0,1,0,1,0,1,1
CAMPER,1,1,1,1,1,0,0,0,1,1,1
CAMPFIRE,1,1,0,1,0,1,0,1,1,1,1
CAMPGROUND,0,1,0,1,1,0,0,0,1,1,1
CAMPING,1,1,1,1,1,1,1,1,1,1,1
CAMPOUT,0,1,1,1,0,0,0,0,1,1,0
CAMPSITE,1,1,1,1,1,1,0,1,1,1,1
CAMPUS,1,1,0,0,0,0,0,0,1,0,1
CAMPY,1,1,0,1,0,1,0,1,0,1,0
CAN,1,1,1,1,1,0,0,1,0,1,1
CAN OPENER,1,0,0,1,1,0,0,0,0,0,1
CANAL,0,1,0,1,0,0,0,1,1,0,1
CANARY,1,0,0,0,1,1,0,0,1,0,1
CANCEL,1,0,0,0,0,0,0,1,0,0,0
CANCELABLE,1,0,0,0,0,0,0,0,0,0,0
CANCELATION,1,0,0,1,0,1,0,1,0,0,0
CANCELLATION,1,0,0,0,0,0,0,1,0,0,0
CANCER,0,1,0,1,0,1,1,1,0,1,0
CANCEROUS,0,1,0,1,0,1,1,1,0,1,0
CANDELABRA,0,0,0,1,0,1,0,0,0,0,1
CANDID,1,0,0,0,0,1,1,1,0,0,1
CANDID CAMERA,1,0,0,0,0,1,0,0,0,0,1
CANDIDACY,1,0,0,0,0,1,0,1,0,0,0
CANDIDATE,1,1,1,0,0,1,0,1,1,1,1
CANDIDATESHIP,1,1,0,0,0,1,0,1,0,1,0
CANDIDLY,1,0,0,0,0,1,0,1,0,0,0
CANDIDNESS,1,0,0,0,0,1,0,1,0,0,0
CANDIED,0,0,1,0,1,0,0,1,1,1,0
CANDLE,0,0,0,1,1,1,0,0,1,0,1
CANDLE FLAME,0,0,0,1,1,1,0,0,1,0,1
CANDLEHOLDER,0,0,0,1,1,0,0,0,1,0,1
CANDLELIGHT,0,0,0,0,0,1,0,0,1,0,1
CANDLELIT,0,0,0,1,0,1,0,0,1,0,1
CANDLEPOWER,0,0,0,0,0,0,0,0,1,0,1
CANDLESTICK,0,0,0,1,1,0,0,0,1,0,1
CANDLEWICK,0,0,0,1,1,0,0,0,1,0,1
CANDLEWOOD,0,0,0,1,1,0,0,0,1,0,1
CANDOR,1,0,0,0,0,0,0,1,0,0,0
CANDY,0,0,1,1,1,0,0,1,1,1,1
CANDY BAR,0,0,1,1,1,0,0,1,1,0,1
CANDY CANE,0,0,1,1,1,0,0,1,1,0,1
CANDY STORE,0,1,1,1,1,0,0,1,1,0,1
CANE,0,1,0,1,1,0,0,0,0,0,1
CANINE,1,0,0,1,1,0,0,0,1,0,1
CANISTER,0,0,0,1,1,0,0,0,0,0,1
CANNABIS,0,0,1,1,1,1,1,1,1,1,1
CANNED,0,0,1,1,1,0,0,0,0,0,1
CANNER,0,0,0,1,1,0,0,0,0,0,0
CANNERY,1,1,0,1,0,0,0,0,1,1,1
CANNIBAL,0,1,1,1,0,0,0,1,0,1,0
CANNIBALISM,1,0,1,1,1,0,1,1,1,1,1
CANNIBALISTIC,0,0,1,0,0,0,1,1,1,0,0
CANNIBALISTICALLY,0,0,1,1,0,1,0,1,1,1,0
CANNIBALIZATION,0,1,1,1,1,0,1,1,1,1,0
CANNIBALIZE,0,0,1,0,1,0,1,1,1,0,0
CANNING,0,0,1,1,1,1,0,0,0,1,1
CANNON,1,1,0,1,1,0,0,0,1,1,1
CANNON FIRE,1,0,0,0,0,0,0,0,1,0,1
CANNON FODDER,0,1,0,1,0,0,0,0,0,1,0
CANNONBALL,1,1,0,1,1,0,0,0,1,1,1
CANNOT,1,0,0,0,0,1,0,1,0,1,0
CANOE,0,1,0,1,1,0,0,0,0,1,1
CANOEING,0,1,0,1,1,0,1,0,0,1,1
CANOEIST,0,0,0,1,1,0,0,0,0,0,1
CANOLA,0,0,1,0,1,0,0,1,1,0,1
CANON,1,0,0,1,1,1,0,0,0,1,0
